id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
246,Female,21,1,11,0,< 1 Year,Yes,35555,152,242,1
248,Female,43,1,28,0,1-2 Year,Yes,29578,31,203,1
261,Male,54,1,28,0,1-2 Year,Yes,34367,124,237,1
277,Female,36,1,15,0,1-2 Year,Yes,2630,26,69,1
282,Female,54,1,41,0,1-2 Year,Yes,53581,124,199,1
293,Female,43,1,3,0,1-2 Year,Yes,31020,26,59,1
299,Female,49,1,31,0,1-2 Year,Yes,2630,124,32,1
334,Male,44,1,28,0,1-2 Year,Yes,30427,124,237,1
340,Female,69,1,28,0,1-2 Year,Yes,32400,26,189,1
346,Male,42,1,38,0,1-2 Year,Yes,34193,156,116,1
347,Male,22,1,37,0,< 1 Year,Yes,38240,152,221,1
355,Male,57,1,28,0,1-2 Year,Yes,19618,122,96,1
359,Male,43,1,28,0,1-2 Year,Yes,39495,124,172,1
360,Male,54,1,15,0,1-2 Year,Yes,35116,124,171,1
373,Male,45,1,28,0,> 2 Years,Yes,49145,122,222,1
383,Female,55,1,28,0,> 2 Years,Yes,49146,26,190,1
400,Male,59,1,28,0,1-2 Year,Yes,44233,124,160,1
401,Male,23,1,47,0,< 1 Year,Yes,25080,152,277,1
402,Male,65,1,28,0,1-2 Year,Yes,90789,26,186,1
404,Male,49,1,28,0,1-2 Year,Yes,37214,26,158,1
417,Male,41,1,21,0,1-2 Year,Yes,29440,157,87,1
429,Female,21,1,34,0,1-2 Year,Yes,36314,163,86,1
431,Male,48,1,8,0,1-2 Year,Yes,42100,124,247,1
442,Female,67,1,29,0,1-2 Year,Yes,43753,124,30,1
447,Male,54,1,35,0,1-2 Year,Yes,26629,26,113,1
451,Female,23,1,37,0,< 1 Year,Yes,21214,152,126,1
462,Male,52,1,28,0,1-2 Year,Yes,46090,124,217,1
471,Female,74,1,28,0,> 2 Years,Yes,30128,26,164,1
480,Male,30,1,28,0,< 1 Year,Yes,51429,121,119,1
484,Female,44,1,28,0,1-2 Year,Yes,52593,26,30,1
485,Female,36,1,8,0,1-2 Year,Yes,63198,26,244,1
490,Female,39,1,28,0,1-2 Year,Yes,45387,154,59,1
506,Male,37,1,28,0,1-2 Year,Yes,42207,124,135,1
515,Female,22,1,37,0,< 1 Year,Yes,32093,152,113,1
540,Male,45,1,28,0,1-2 Year,Yes,2630,26,204,1
544,Male,57,1,28,0,1-2 Year,Yes,24552,26,122,1
547,Male,38,1,28,0,1-2 Year,Yes,46272,124,203,1
558,Female,51,1,33,0,1-2 Year,Yes,31243,152,39,1
569,Male,40,1,4,0,1-2 Year,Yes,33466,124,120,1
577,Female,52,1,7,0,1-2 Year,Yes,2630,157,19,1
584,Male,57,1,28,0,1-2 Year,Yes,31179,26,160,1
598,Female,49,1,46,0,1-2 Year,Yes,25996,26,184,1
599,Male,42,1,41,0,1-2 Year,Yes,35129,163,80,1
613,Female,45,1,8,0,1-2 Year,Yes,2630,26,96,1
617,Male,46,1,28,0,> 2 Years,Yes,64819,124,82,1
620,Female,41,1,28,0,1-2 Year,Yes,35524,124,13,1
622,Female,43,1,28,0,> 2 Years,Yes,37314,26,288,1
628,Male,42,1,28,0,> 2 Years,Yes,34815,26,101,1
655,Female,59,1,18,0,1-2 Year,No,23322,124,133,1
662,Female,34,1,29,0,1-2 Year,Yes,30045,26,119,1
669,Male,45,1,33,0,1-2 Year,Yes,23958,26,35,1
675,Female,37,1,28,0,1-2 Year,Yes,45037,26,238,1
679,Male,31,1,39,0,< 1 Year,Yes,2630,26,166,1
689,Male,61,1,8,0,> 2 Years,Yes,22257,124,171,1
703,Female,43,1,28,0,1-2 Year,Yes,46174,26,21,1
706,Female,35,1,46,0,1-2 Year,Yes,29036,124,227,1
715,Male,47,1,26,0,1-2 Year,Yes,28871,26,60,1
717,Male,44,1,8,0,1-2 Year,Yes,32342,124,255,1
719,Male,36,1,8,0,1-2 Year,Yes,32752,156,287,1
733,Male,77,1,28,0,1-2 Year,Yes,2630,26,109,1
735,Male,50,1,28,0,> 2 Years,Yes,53905,124,253,1
739,Male,43,1,28,0,1-2 Year,Yes,29921,26,146,1
749,Male,46,1,28,0,> 2 Years,Yes,38166,26,37,1
751,Male,49,1,30,0,1-2 Year,Yes,2630,26,59,1
762,Female,40,1,28,0,1-2 Year,Yes,2630,124,197,1
767,Female,69,1,18,0,1-2 Year,Yes,30539,124,107,1
775,Male,58,1,28,0,1-2 Year,Yes,2630,158,180,1
790,Male,40,1,28,0,1-2 Year,Yes,28113,124,278,1
794,Male,52,1,3,0,1-2 Year,Yes,28088,26,285,1
806,Male,38,1,48,0,1-2 Year,Yes,2630,124,10,1
807,Female,67,1,29,0,1-2 Year,Yes,45459,124,267,1
814,Male,62,1,28,0,1-2 Year,Yes,38052,124,82,1
834,Male,25,1,37,0,< 1 Year,Yes,31531,152,49,1
846,Female,44,1,28,0,1-2 Year,Yes,43624,26,28,1
847,Male,43,1,39,0,1-2 Year,Yes,2630,124,26,1
852,Male,54,1,8,0,< 1 Year,Yes,34948,26,116,1
853,Female,44,1,41,0,1-2 Year,Yes,31059,26,263,1
861,Male,42,1,28,0,1-2 Year,Yes,30408,124,74,1
882,Male,34,1,45,0,1-2 Year,Yes,2630,156,223,1
883,Male,54,1,9,0,> 2 Years,Yes,40603,31,161,1
895,Female,29,1,41,0,< 1 Year,Yes,2630,121,166,1
896,Male,47,1,41,0,1-2 Year,Yes,35297,124,74,1
912,Male,72,1,28,0,> 2 Years,Yes,54468,122,129,1
919,Male,32,1,28,0,1-2 Year,Yes,2630,124,227,1
925,Male,37,1,18,0,1-2 Year,Yes,53672,154,32,1
931,Female,51,1,28,0,1-2 Year,Yes,37564,26,252,1
932,Female,25,1,47,0,< 1 Year,Yes,57180,154,205,1
950,Female,46,1,26,0,1-2 Year,Yes,2630,157,142,1
957,Male,50,1,15,0,1-2 Year,Yes,33666,124,242,1
971,Male,34,1,28,0,1-2 Year,Yes,31177,26,103,1
972,Male,52,1,28,0,1-2 Year,Yes,50851,124,285,1
979,Female,33,1,46,0,1-2 Year,Yes,2630,156,116,1
981,Male,35,1,32,0,1-2 Year,Yes,34062,163,236,1
982,Male,38,1,36,0,1-2 Year,Yes,37742,26,295,1
985,Male,23,1,16,0,< 1 Year,Yes,2630,152,126,1
989,Male,48,1,3,0,1-2 Year,Yes,32485,124,12,1
998,Male,31,1,41,0,< 1 Year,Yes,18987,152,100,1
999,Female,43,1,28,0,1-2 Year,Yes,55924,26,216,1
1008,Male,23,1,28,0,< 1 Year,Yes,65040,26,55,1
1013,Female,47,1,20,0,1-2 Year,Yes,2630,26,227,1
1020,Female,45,1,28,0,1-2 Year,Yes,45878,26,127,1
1035,Male,45,1,29,0,1-2 Year,Yes,42124,26,71,1
1044,Male,28,1,9,0,1-2 Year,Yes,31804,157,124,1
1048,Female,50,1,11,0,1-2 Year,Yes,35427,124,237,1
1054,Male,53,1,3,0,1-2 Year,Yes,18090,26,85,1
1071,Male,24,1,49,0,< 1 Year,Yes,27291,152,155,1
1080,Male,71,1,28,0,1-2 Year,Yes,67477,26,221,1
1082,Male,74,1,30,0,> 2 Years,Yes,34753,124,206,1
1105,Female,47,1,28,0,1-2 Year,Yes,28815,26,97,1
1126,Male,52,1,22,0,1-2 Year,Yes,30642,8,148,1
1127,Male,33,1,24,0,< 1 Year,Yes,2630,156,120,1
1134,Female,25,1,28,0,< 1 Year,Yes,23752,152,151,1
1144,Female,45,1,48,0,1-2 Year,Yes,2630,157,171,1
1154,Male,36,1,39,0,1-2 Year,Yes,29846,26,47,1
1159,Female,47,1,31,0,1-2 Year,Yes,2630,26,40,1
1166,Male,36,1,18,0,1-2 Year,No,2630,124,212,1
1168,Male,33,1,28,0,1-2 Year,Yes,28902,124,220,1
1181,Female,67,1,37,0,1-2 Year,Yes,42448,156,180,1
1184,Female,31,1,28,0,< 1 Year,Yes,28921,124,264,1
1189,Female,39,1,28,0,> 2 Years,Yes,34874,26,70,1
1197,Male,28,1,11,0,< 1 Year,Yes,2630,124,221,1
1213,Female,56,1,28,0,1-2 Year,Yes,28268,26,170,1
1224,Female,62,1,28,0,> 2 Years,Yes,41904,26,35,1
1225,Male,24,1,28,0,< 1 Year,Yes,43900,152,270,1
1235,Male,66,1,28,0,1-2 Year,Yes,64942,26,248,1
1239,Male,47,1,30,0,1-2 Year,Yes,30100,124,60,1
1264,Male,38,1,28,0,1-2 Year,Yes,18906,24,136,1
1270,Male,59,1,28,0,1-2 Year,Yes,61464,26,141,1
1299,Female,35,1,3,0,1-2 Year,Yes,2630,156,38,1
1301,Male,59,1,29,0,1-2 Year,Yes,33708,26,205,1
1307,Female,56,1,28,0,> 2 Years,Yes,47123,26,56,1
1309,Male,49,1,28,0,1-2 Year,Yes,31342,26,20,1
1330,Female,24,1,41,0,< 1 Year,Yes,31522,152,173,1
1341,Female,30,1,30,0,< 1 Year,Yes,2630,152,53,1
1350,Male,43,1,28,0,1-2 Year,Yes,24004,124,108,1
1357,Male,48,1,3,0,1-2 Year,Yes,37412,26,180,1
1374,Female,75,1,28,0,> 2 Years,Yes,49332,124,49,1
1376,Female,45,1,28,0,1-2 Year,Yes,38615,124,52,1
1392,Female,31,1,28,0,< 1 Year,Yes,29775,124,68,1
1401,Female,44,1,28,0,1-2 Year,Yes,33487,154,81,1
1403,Male,30,1,28,0,1-2 Year,Yes,37322,154,53,1
1405,Male,77,1,28,0,1-2 Year,Yes,48516,26,149,1
1413,Female,41,1,28,0,1-2 Year,Yes,267698,124,63,1
1414,Female,69,1,41,0,> 2 Years,Yes,45091,106,166,1
1429,Female,55,1,28,0,> 2 Years,Yes,42059,24,45,1
1452,Male,36,1,28,0,1-2 Year,Yes,25195,54,101,1
1457,Male,39,1,28,0,> 2 Years,Yes,42278,124,14,1
1468,Male,46,1,4,0,1-2 Year,Yes,2630,156,96,1
1474,Male,51,1,3,0,1-2 Year,Yes,15715,26,185,1
1482,Male,32,1,28,0,1-2 Year,Yes,29193,124,46,1
1490,Female,38,1,30,0,1-2 Year,Yes,2630,157,297,1
1494,Female,30,1,4,0,1-2 Year,Yes,2630,156,41,1
1495,Female,48,1,28,0,1-2 Year,Yes,32662,26,199,1
1504,Male,24,1,5,0,< 1 Year,Yes,32619,152,74,1
1512,Male,43,1,50,0,1-2 Year,Yes,28285,8,153,1
1513,Male,34,1,28,0,1-2 Year,Yes,34438,26,190,1
1519,Female,39,1,39,0,1-2 Year,Yes,35159,124,32,1
1533,Male,35,1,28,0,1-2 Year,Yes,2630,157,286,1
1534,Female,39,1,28,0,1-2 Year,Yes,37734,26,56,1
1540,Male,46,1,29,0,1-2 Year,Yes,28209,26,84,1
1544,Female,32,1,3,0,< 1 Year,Yes,2630,160,71,1
1550,Female,48,1,28,0,> 2 Years,Yes,41910,26,285,1
1562,Male,47,1,31,0,1-2 Year,Yes,2630,124,183,1
1569,Male,53,1,29,0,1-2 Year,Yes,61662,154,105,1
1570,Male,29,1,28,0,< 1 Year,Yes,67466,124,75,1
1573,Female,26,1,29,0,1-2 Year,Yes,23111,150,205,1
1582,Female,27,1,14,0,1-2 Year,Yes,28579,156,188,1
1591,Male,31,1,23,0,< 1 Year,Yes,26262,152,92,1
1595,Male,32,1,28,0,1-2 Year,Yes,28331,26,173,1
1609,Female,31,1,8,0,< 1 Year,Yes,25498,152,195,1
1610,Female,42,1,8,0,1-2 Year,Yes,29277,26,141,1
1613,Male,55,1,15,0,1-2 Year,Yes,29994,154,215,1
1632,Male,49,1,28,0,1-2 Year,No,47598,25,205,1
1637,Male,55,1,28,0,1-2 Year,Yes,46443,26,298,1
1638,Male,31,1,8,0,< 1 Year,Yes,44628,124,289,1
1643,Male,32,1,6,0,< 1 Year,No,2630,163,264,1
1662,Male,51,1,38,0,> 2 Years,Yes,27670,26,48,1
1669,Male,32,1,28,0,1-2 Year,Yes,2630,156,225,1
1670,Male,57,1,28,0,1-2 Year,Yes,36603,26,246,1
1673,Male,23,1,8,0,< 1 Year,Yes,44892,152,265,1
1689,Female,39,1,28,0,1-2 Year,Yes,41327,26,101,1
1691,Female,73,1,38,0,1-2 Year,Yes,31898,26,27,1
1698,Male,47,1,19,0,1-2 Year,Yes,40958,26,173,1
1702,Male,46,1,8,0,1-2 Year,Yes,40864,124,232,1
1706,Female,47,1,28,0,1-2 Year,Yes,74869,30,156,1
1710,Male,43,1,33,0,1-2 Year,Yes,31399,26,159,1
1718,Male,49,1,19,0,1-2 Year,Yes,39421,124,277,1
1722,Female,47,1,28,0,1-2 Year,Yes,44200,26,51,1
1724,Female,50,1,46,0,1-2 Year,Yes,2630,124,56,1
1731,Female,38,1,28,0,1-2 Year,Yes,31311,26,56,1
1734,Male,46,1,28,0,1-2 Year,Yes,39465,26,59,1
1737,Male,26,1,29,0,< 1 Year,No,37020,26,188,1
1755,Female,48,1,28,0,1-2 Year,Yes,52033,26,256,1
1767,Female,46,1,24,0,1-2 Year,Yes,27867,154,85,1
1768,Male,42,1,29,0,1-2 Year,Yes,47489,26,155,1
1773,Female,31,1,18,0,< 1 Year,Yes,2630,124,166,1
1775,Female,42,1,8,0,1-2 Year,Yes,37927,26,258,1
1776,Female,37,1,28,0,1-2 Year,Yes,2630,124,195,1
1780,Female,32,1,28,0,< 1 Year,Yes,43828,26,213,1
1781,Male,27,1,3,0,< 1 Year,Yes,22062,152,197,1
1797,Female,41,1,28,0,1-2 Year,Yes,2630,155,10,1
1807,Male,69,1,28,0,1-2 Year,Yes,2630,124,38,1
1808,Male,49,1,39,0,1-2 Year,Yes,43707,124,264,1
1811,Male,40,1,29,0,1-2 Year,Yes,27932,124,27,1
1812,Male,61,1,0,0,1-2 Year,Yes,2630,124,223,1
1816,Female,57,1,28,0,1-2 Year,Yes,34244,26,75,1
1822,Female,38,1,22,0,1-2 Year,Yes,27922,124,54,1
1834,Male,46,1,28,0,1-2 Year,Yes,38409,13,298,1
1837,Female,28,1,28,0,1-2 Year,Yes,48442,154,253,1
1870,Female,45,1,29,0,1-2 Year,Yes,2630,157,287,1
1873,Female,59,1,48,0,1-2 Year,Yes,2630,26,240,1
1887,Female,30,1,41,0,< 1 Year,Yes,34423,136,18,1
1898,Male,41,1,16,0,1-2 Year,Yes,28673,26,283,1
1910,Male,29,1,40,0,< 1 Year,Yes,19993,124,176,1
1915,Female,56,1,28,0,> 2 Years,Yes,70049,25,213,1
1925,Female,34,1,3,0,1-2 Year,Yes,38016,157,125,1
1934,Male,54,1,35,0,1-2 Year,Yes,27337,26,223,1
1943,Male,41,1,24,0,1-2 Year,Yes,28227,124,190,1
1946,Male,41,1,28,0,1-2 Year,Yes,38404,124,245,1
1947,Male,36,1,11,0,1-2 Year,Yes,2630,156,270,1
1966,Male,52,1,28,0,1-2 Year,Yes,31445,26,223,1
1974,Male,35,1,28,0,1-2 Year,Yes,26954,124,71,1
1983,Female,53,1,7,0,1-2 Year,Yes,40793,26,106,1
1988,Female,51,1,28,0,1-2 Year,Yes,39698,152,117,1
2003,Female,52,1,12,0,1-2 Year,Yes,2630,154,217,1
2008,Male,27,1,11,0,< 1 Year,Yes,38939,152,12,1
2036,Male,46,1,47,0,1-2 Year,Yes,33137,26,149,1
2038,Male,36,1,23,0,1-2 Year,Yes,30738,124,225,1
2042,Male,52,1,29,0,1-2 Year,Yes,27015,55,276,1
2043,Female,57,1,8,0,1-2 Year,Yes,21956,124,51,1
2045,Male,51,1,8,0,1-2 Year,Yes,2630,124,264,1
2046,Female,38,1,28,0,1-2 Year,Yes,34771,124,129,1
2051,Male,49,1,36,0,> 2 Years,Yes,35401,124,254,1
2071,Female,53,1,46,0,1-2 Year,Yes,29118,11,247,1
2079,Male,56,1,28,0,> 2 Years,Yes,53228,26,76,1
2081,Female,42,1,28,0,> 2 Years,Yes,35977,26,270,1
2090,Male,42,1,33,0,1-2 Year,Yes,29684,124,10,1
2092,Male,21,1,42,0,1-2 Year,Yes,22931,154,76,1
2106,Male,43,1,28,0,> 2 Years,Yes,41201,124,73,1
2119,Female,30,1,3,0,< 1 Year,Yes,29492,152,174,1
2124,Male,34,1,28,0,1-2 Year,Yes,47203,124,45,1
2130,Female,41,1,15,0,1-2 Year,Yes,22360,26,249,1
2139,Male,31,1,48,0,1-2 Year,Yes,33120,163,244,1
2151,Female,46,1,28,0,1-2 Year,Yes,50041,26,155,1
2170,Female,48,1,30,0,1-2 Year,Yes,2630,156,82,1
2181,Male,51,1,38,0,1-2 Year,Yes,24532,122,211,1
2209,Male,24,1,39,0,< 1 Year,Yes,2630,124,43,1
2221,Male,40,1,14,0,1-2 Year,Yes,30405,26,138,1
2243,Male,55,1,8,0,1-2 Year,Yes,53721,26,210,1
2251,Female,42,1,28,0,1-2 Year,Yes,47097,26,215,1
2252,Female,46,1,28,0,1-2 Year,Yes,2630,156,24,1
2253,Male,43,1,28,0,1-2 Year,Yes,44014,124,287,1
2256,Female,37,1,28,0,1-2 Year,Yes,40689,26,267,1
2258,Female,45,1,28,0,1-2 Year,Yes,2630,157,112,1
2260,Male,51,1,28,0,1-2 Year,Yes,2630,124,284,1
2281,Male,27,1,3,0,< 1 Year,Yes,36517,152,248,1
2284,Male,47,1,15,0,1-2 Year,Yes,35215,124,151,1
2285,Male,41,1,28,0,> 2 Years,Yes,2630,26,77,1
2292,Male,42,1,12,0,1-2 Year,Yes,25775,124,286,1
2296,Male,53,1,23,0,1-2 Year,Yes,23662,150,66,1
2307,Male,47,1,28,0,1-2 Year,Yes,34226,26,293,1
2314,Female,50,1,28,0,1-2 Year,Yes,42448,26,99,1
2317,Male,45,1,28,0,1-2 Year,Yes,22838,163,39,1
2323,Male,38,1,15,0,1-2 Year,Yes,35139,124,290,1
2324,Male,50,1,43,0,1-2 Year,Yes,49794,26,287,1
2333,Female,51,1,28,0,1-2 Year,Yes,2630,157,104,1
2340,Male,29,1,23,0,1-2 Year,Yes,30057,163,142,1
2344,Female,66,1,28,0,1-2 Year,Yes,33244,122,161,1
2347,Male,60,1,28,0,1-2 Year,Yes,42249,26,177,1
2353,Male,63,1,8,0,> 2 Years,Yes,43569,26,55,1
2363,Male,22,1,24,0,< 1 Year,Yes,27283,163,92,1
2367,Male,28,1,29,0,< 1 Year,Yes,30404,154,145,1
2378,Male,74,1,8,0,1-2 Year,Yes,41438,26,50,1
2384,Female,38,1,28,0,> 2 Years,Yes,44513,55,19,1
2392,Male,42,1,28,0,1-2 Year,Yes,42506,124,145,1
2396,Male,63,1,28,0,1-2 Year,Yes,51537,26,190,1
2399,Female,44,1,41,0,1-2 Year,Yes,22449,12,235,1
2406,Male,70,1,28,0,> 2 Years,Yes,56926,26,235,1
2422,Male,45,1,28,0,1-2 Year,Yes,37289,124,17,1
2433,Male,41,1,33,0,1-2 Year,Yes,2630,157,258,1
2443,Male,30,1,47,0,< 1 Year,Yes,29193,152,266,1
2449,Female,75,1,28,0,1-2 Year,Yes,30444,124,183,1
2456,Female,38,1,28,0,1-2 Year,Yes,38672,122,280,1
2475,Male,25,1,28,0,< 1 Year,No,28234,152,220,1
2507,Male,44,1,28,0,1-2 Year,Yes,48288,124,280,1
2519,Male,45,1,29,0,1-2 Year,Yes,35149,124,257,1
2527,Male,21,1,10,0,< 1 Year,Yes,25093,160,256,1
2542,Male,43,1,28,0,1-2 Year,Yes,46756,26,217,1
2545,Male,54,1,8,0,1-2 Year,Yes,53686,124,202,1
2552,Male,47,1,28,0,> 2 Years,Yes,43804,26,74,1
2562,Male,37,1,8,0,1-2 Year,Yes,37234,124,223,1
2566,Male,55,1,8,0,1-2 Year,Yes,43113,124,29,1
2568,Female,38,1,13,0,1-2 Year,Yes,2630,124,220,1
2569,Female,29,1,28,0,1-2 Year,Yes,36896,26,199,1
2590,Male,33,1,28,0,< 1 Year,Yes,37991,152,45,1
2602,Male,42,1,28,0,1-2 Year,Yes,31449,26,148,1
2607,Female,42,1,28,0,1-2 Year,Yes,53272,26,80,1
2615,Female,35,1,11,0,1-2 Year,Yes,28482,122,114,1
2621,Male,26,1,36,0,< 1 Year,Yes,20312,26,140,1
2636,Male,38,1,41,0,1-2 Year,Yes,2630,156,251,1
2638,Female,46,1,28,0,1-2 Year,Yes,41840,26,77,1
2643,Female,35,1,8,0,1-2 Year,Yes,27002,124,77,1
2655,Male,41,1,28,0,> 2 Years,Yes,45340,26,16,1
2657,Male,48,1,28,0,1-2 Year,Yes,24604,124,221,1
2677,Female,23,1,41,0,< 1 Year,Yes,19737,152,253,1
2688,Male,34,1,28,0,1-2 Year,Yes,34111,26,212,1
2690,Male,45,1,11,0,1-2 Year,Yes,40974,26,108,1
2692,Female,42,1,46,0,1-2 Year,Yes,35151,124,242,1
2701,Female,30,1,41,0,< 1 Year,Yes,18266,124,189,1
2707,Male,71,1,35,0,1-2 Year,Yes,27080,124,230,1
2712,Male,48,1,28,0,> 2 Years,Yes,43874,26,121,1
2726,Female,47,1,28,0,1-2 Year,Yes,36914,122,145,1
2729,Female,43,1,33,0,1-2 Year,Yes,2630,26,269,1
2731,Male,50,1,28,0,1-2 Year,Yes,2630,154,196,1
2739,Male,67,1,28,0,> 2 Years,Yes,65606,26,204,1
2743,Male,35,1,36,0,1-2 Year,Yes,30501,154,85,1
2754,Male,61,1,8,0,1-2 Year,Yes,52414,156,19,1
2755,Female,44,1,46,0,1-2 Year,Yes,35122,124,245,1
2756,Male,45,1,8,0,1-2 Year,Yes,43913,124,209,1
2792,Male,33,1,18,0,1-2 Year,Yes,23110,124,261,1
2799,Female,56,1,13,0,1-2 Year,Yes,2630,122,217,1
2808,Female,28,1,12,0,1-2 Year,Yes,22722,124,52,1
2811,Male,42,1,20,0,1-2 Year,Yes,2630,124,29,1
2818,Male,34,1,28,0,1-2 Year,Yes,32883,26,142,1
2819,Male,45,1,28,0,1-2 Year,Yes,23593,124,98,1
2868,Male,44,1,23,0,1-2 Year,Yes,24102,124,94,1
2873,Female,59,1,28,0,> 2 Years,Yes,51874,26,186,1
2877,Female,35,1,5,0,1-2 Year,Yes,2630,157,29,1
2884,Male,31,1,3,0,1-2 Year,Yes,2630,154,294,1
2894,Male,41,1,28,0,1-2 Year,Yes,21393,26,186,1
2895,Male,50,1,3,0,1-2 Year,Yes,34998,26,14,1
2901,Female,40,1,36,0,1-2 Year,Yes,25145,124,47,1
2904,Male,51,1,28,0,> 2 Years,Yes,51698,124,225,1
2911,Male,25,1,29,0,1-2 Year,Yes,2630,26,241,1
2922,Female,36,1,8,0,1-2 Year,Yes,37093,19,115,1
2952,Male,27,1,29,0,1-2 Year,Yes,25445,124,174,1
2957,Male,36,1,28,0,1-2 Year,Yes,61020,122,15,1
2960,Male,62,1,8,0,1-2 Year,Yes,2630,124,237,1
2971,Male,41,1,28,0,1-2 Year,Yes,63423,124,140,1
2976,Female,21,1,6,0,1-2 Year,Yes,25577,163,75,1
2979,Male,68,1,28,0,1-2 Year,Yes,22054,122,213,1
2982,Male,56,1,29,0,> 2 Years,Yes,2630,124,121,1
2986,Male,42,1,24,0,1-2 Year,Yes,2630,124,263,1
2990,Male,36,1,8,0,1-2 Year,Yes,37860,124,171,1
2995,Male,21,1,8,0,< 1 Year,Yes,40693,26,187,1
2996,Male,74,1,46,0,> 2 Years,Yes,2630,11,231,1
2997,Male,45,1,28,0,> 2 Years,Yes,43780,26,207,1
3008,Male,35,1,28,0,1-2 Year,Yes,34639,26,183,1
3020,Female,52,1,28,0,> 2 Years,Yes,46491,122,104,1
3023,Male,51,1,41,0,1-2 Year,Yes,32698,26,164,1
3025,Female,31,1,27,0,1-2 Year,Yes,2630,156,167,1
3034,Male,57,1,46,0,> 2 Years,Yes,2630,156,219,1
3036,Male,47,1,7,0,1-2 Year,Yes,50725,26,41,1
3045,Female,78,1,28,0,1-2 Year,Yes,31471,122,231,1
3047,Male,31,1,21,0,< 1 Year,Yes,27005,152,108,1
3056,Male,41,1,48,0,1-2 Year,No,2630,124,288,1
3062,Female,33,1,30,0,< 1 Year,Yes,26929,163,249,1
3063,Male,25,1,37,0,< 1 Year,Yes,33879,152,109,1
3066,Male,38,1,46,0,1-2 Year,Yes,36116,124,283,1
3071,Male,44,1,12,0,1-2 Year,Yes,33203,26,283,1
3094,Female,31,1,30,0,< 1 Year,Yes,31188,124,55,1
3098,Male,46,1,28,0,1-2 Year,Yes,37447,26,162,1
3099,Female,35,1,8,0,1-2 Year,Yes,2630,156,239,1
3115,Male,37,1,8,0,1-2 Year,Yes,42741,124,233,1
3117,Male,43,1,28,0,1-2 Year,Yes,38258,26,197,1
3123,Female,25,1,37,0,< 1 Year,Yes,28920,152,128,1
3130,Male,47,1,46,0,1-2 Year,Yes,26275,26,11,1
3132,Male,48,1,29,0,1-2 Year,Yes,20860,26,241,1
3134,Female,45,1,28,0,1-2 Year,Yes,36141,124,223,1
3135,Female,34,1,28,0,1-2 Year,Yes,42051,26,27,1
3144,Male,25,1,37,0,< 1 Year,Yes,2630,107,138,1
3165,Male,44,1,41,0,1-2 Year,Yes,30593,136,261,1
3182,Male,33,1,8,0,1-2 Year,Yes,37249,124,213,1
3186,Male,43,1,46,0,1-2 Year,Yes,2630,11,273,1
3207,Female,28,1,41,0,< 1 Year,Yes,27329,152,163,1
3208,Female,23,1,35,0,< 1 Year,No,21714,152,226,1
3209,Female,42,1,41,0,1-2 Year,Yes,40740,26,159,1
3211,Male,26,1,28,0,< 1 Year,Yes,2630,152,228,1
3238,Male,49,1,8,0,1-2 Year,Yes,49632,26,255,1
3251,Female,71,1,18,0,1-2 Year,Yes,36435,131,90,1
3265,Female,40,1,28,0,> 2 Years,Yes,44575,26,88,1
3277,Female,66,1,8,0,1-2 Year,Yes,31983,124,23,1
3283,Male,46,1,28,0,> 2 Years,Yes,2630,26,287,1
